1PL	first person, plural
1PL.ADD	first person, plural, additive
1SG	first person, singular
2PL	second person, plural
2SG	second person, singular
3	third person
3PL	third person, plural
3SG	third person, singular
ablative	ablative
accusative	accusative
active participle	active participle
additive marker (-ak / -äk)	additive marker (-ak / -äk)
additive particle (=at / =ät)	additive particle (=at / =ät)
adverbializer	adverbializer
agent noun	agent noun
aggregative numeral	aggregative numeral
Agreement	Agreement
aorist (past I)	aorist (past I)
aorist third-person plural	aorist third-person plural
aorist third-person singular	aorist third-person singular
Aspect	Aspect
attenuative	attenuative
attributivizer	attributivizer
caritive	caritive
Cases	Cases
causative (-t)	causative (-t)
causative (-tar)	causative (-tar)
collective numeral	collective numeral
comitative	comitative
comparative	comparative
contrastive particle	contrastive particle
converb	converb
converb with anteriority semantics	converb with anteriority semantics
converb with restrictive sequence semantics	converb with restrictive sequence semantics
converb with simultaneity semantics	converb with simultaneity semantics
dative	dative
dative first person singular possessive	dative first person singular possessive
dative second person singular possessive	dative second person singular possessive
debitive	debitive
Denominal derivation	Denominal derivation
denominal verb (-ešt)	denominal verb (-ešt)
denominal verb (-l)	denominal verb (-l)
desiderative	desiderative
destination marker	destination marker
detransitivizer (-g)	detransitivizer (-g)
detransitivizer (-n)	detransitivizer (-n)
deverbal noun	deverbal noun
discontinuative	discontinuative
distant causative	distant causative
elative	elative
emphatic particle	emphatic particle
existential predicate	existential predicate
first-person plural possessive	first-person plural possessive
first-person singular possessive	first-person singular possessive
full form	full form
genitive	genitive
illative	illative
illative form of NMLZ2	illative form of NMLZ2
imperative	imperative
imperative second-person plural	imperative second-person plural
inchoative (-ang)	inchoative (-ang)
inchoative (-em)	inchoative (-em)
indefinite pronoun	indefinite pronoun
inessive	inessive
inessive form of NMLZ2	inessive form of NMLZ2
infinitive	infinitive
ITER2 (-edə̈l)	ITER2 (-edə̈l)
ITER3 (-ə̑št)	ITER3 (-ə̑št)
iterative (-ə̑l)	iterative (-ə̑l)
jussive	jussive
jussive plural	jussive plural
jussive singular	jussive singular
lative	lative
manner verb	manner verb
marker with meaning ‘since then’	marker with meaning ‘since then’
mediopassive	mediopassive
Mood	Mood
Negation	Negation
negation	negation
negative attributivizer form	negative attributivizer form
negative converb	negative converb
negative participle	negative participle
negative preterite form	negative preterite form
Nominal derivation	Nominal derivation
nominalization (-maš / -mäš)	nominalization (-maš / -mäš)
nominalization (-mə̑ / -mə̈ / -m)	nominalization (-mə̑ / -mə̈ / -m)
Non-finite	Non-finite forms
non-past	non-past
non-past first-person plural	non-past first-person plural
non-past first-person singular	non-past first-person singular
non-past second-person plural	non-past second-person plural
non-past second-person singular	non-past second-person singular
non-past third-person plural	non-past third-person plural
non-past third-person singular	non-past third-person singular
Number	Number
Numerals	Numerals
old (unprodactive) inessive (-nə̑ / -nə̈)	old (unprodactive) inessive (-nə̑ / -nə̈)
old (unproductive) illative (-kə̑ / -kə̈)	old (unproductive) illative (-kə̑ / -kə̈)
old (unproductive) lative (-an / -än)	old (unproductive) lative (-an / -än)
optative	optative
ordinal numeral	ordinal numeral
Other tags	Other tags
particle	particle
Particles	Particles
passive participle	passive participle
passive participle/nominalization	passive participle/nominalization
plural	plural
Possessiveness	Possessiveness
possessiveness	possessiveness
pre-imperative marker of non-categoricality (-ə̑ma / -ə̈mä / -emä)	pre-imperative marker of non-categoricality (-ə̑ma / -ə̈mä / -emä)
pre-imperative marker of non-categoricality (=aj / =äj)	pre-imperative marker of non-categoricality (=aj / =äj)
preterite (past II)	preterite (past II)
proprietive	proprietive
punctive	punctive
quantitative attributivizer	quantitative attributivizer
reflexive	reflexive
retrospective shift (ə̑l'ə̑)	retrospective shift (ə̑l'ə̑)
retrospective shift (ə̑lə̑n)	retrospective shift (ə̑lə̑n)
second-person plural possessive	second-person plural possessive
second-person singular possessive	second-person singular possessive
semelfactive	semelfactive
similative	similative
singular	singular
special marker for kinship terms	special marker for kinship terms
Tense	Tense
third-person plural possessive	third-person plural possessive
third-person singular possessive	third-person singular possessive
Valency derivation	Valency-changing derivation
